BioSample_s	LoadDate_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	source_name_s	stimulation_s	strain_s	Assay_Type_s	AssemblyName_s	BioProject_s	BioSampleModel_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	Library_Name_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	cell_type_s	g1k_analysis_group_s	g1k_pop_code_s	source_s
SAMN02257004	17-Jul-13	308	224	SRR936376	SRS460560	GSM1189418	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02257004	17-Jul-13	318	231	SRR936377	SRS460560	GSM1189418	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02257004	17-Jul-13	311	226	SRR936378	SRS460560	GSM1189418	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02257004	17-Jul-13	313	227	SRR936379	SRS460560	GSM1189418	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02257000	17-Jul-13	223	158	SRR936380	SRS460561	GSM1189419	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02257000	17-Jul-13	214	152	SRR936381	SRS460561	GSM1189419	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02257000	17-Jul-13	207	146	SRR936382	SRS460561	GSM1189419	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02257000	17-Jul-13	180	128	SRR936383	SRS460561	GSM1189419	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02256999	17-Jul-13	337	241	SRR936384	SRS460562	GSM1189420	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
SAMN02256999	17-Jul-13	331	237	SRR936385	SRS460562	GSM1189420	BMDC (1h LPS Stimulation)	1h LPS Stimulation	C57BL/6	RNA-Seq	<not provided>	PRJNA212439	Generic	GEO	public	0	PAIRED	<not provided>	Mus musculus	ILLUMINA	11-Jun-14	SRP027537	BMDC	<not provided>	<not provided>	<not provided>
